feature_name,feature_type,ks_statistic,p_value,significant
HR,min,0.04551238292641635,3.168245923790029e-11,True
HR,max,0.06651580884901609,1.6948845080301245e-23,True
HR,mean,0.04415223514983546,1.3696203301947283e-10,True
HR,std,0.018054066343078823,0.03972143699641073,True
RR,min,0.09954212068703427,3.810058062088925e-52,True
RR,max,0.09612468934507157,1.195356235553028e-48,True
RR,mean,0.048532289333586,1.0475146534422347e-12,True
RR,std,0.05540729143949441,1.9682039713709207e-16,True
SpO2,min,0.22223007513287124,1.8601351321337197e-260,True
SpO2,max,0.9988368035361173,0.0,True
SpO2,mean,0.06421546009059759,6.282861023150407e-22,True
SpO2,std,0.013895584591253285,0.1956529765741113,False
WBC,min,0.09700928552552157,1.5283749212330998e-49,True
WBC,max,0.09941274661392424,5.194511089237416e-52,True
WBC,mean,0.05617466239620694,7.039308730903779e-17,True
WBC,std,0.46535019672815253,0.0,True
Na,min,0.10226410978744649,5.102285165515375e-55,True
Na,max,0.12864250186041748,6.348759757838881e-87,True
Na,mean,0.06177158908308156,2.537368821731916e-20,True
Na,std,0.4171634380766238,0.0,True
Creat,min,0.10827350931574772,1.2233060914777587e-61,True
Creat,max,0.0978368009311123,2.193482879150509e-50,True
Creat,mean,0.08612788573909552,3.975986485122455e-39,True
Creat,std,0.4219625040759066,0.0,True
Age,demographic,0.3646103794323815,0.0,True
Gender,demographic,0.5409231080329608,0.0,True
